"text";"screenName";"created"
"No mundo do piçóu de frouxo, o braço do PT: desvio de dinheiro em gravação de deputada confessando crime vira pó  e… https://t.co/hYFUpmc1Y6";"CarlosBolsonaro";2019-03-07 02:06:40
"Dizem que a Mangueira, escola de samba campeã do carnaval e que homenageou Marielle, tem o presidente preso, envolv… https://t.co/iXkqcZmDPj";"CarlosBolsonaro";2019-03-06 23:35:16
"Mais uma “tremenda sacanagem” do governo Bolsonaro.... mas por algum motivo, ignorada pelos canalhas! https://t.co/IrVNocOECk";"CarlosBolsonaro";2019-03-06 20:34:10
"O estarrecedor não é o fato do isentão sempre conseguir enganar o inocente, afinal o urubu sempre existiu. O fato c… https://t.co/TMTrGTqMIB";"CarlosBolsonaro";2019-03-06 18:02:46
"O RJ e outros estados agradecem. Isso trará desenvolvimento, emprego, economia, interligações com outros transporte… https://t.co/8ZmlM7Lyf7";"CarlosBolsonaro";2019-03-06 15:57:19
"Eita! <U+0001F602> https://t.co/5XFZYR89Y5";"CarlosBolsonaro";2019-03-06 15:25:57
"A esquerda diz defender uma classe mas tenta te massacrar dizendo que você faz parte da mesma classe que ela diz de… https://t.co/dhoE0MO8FS";"CarlosBolsonaro";2019-03-06 15:00:02
"Viva o carnaval: esses canalhas estão conseguindo estragar até isso. Veremos daqui uns anos como estará uma do que… https://t.co/NNaTJ2mVxu";"CarlosBolsonaro";2019-03-06 10:29:35
"Me conforta saber que os “filhos” do presidiário estão cada dia mais revoltados comigo! Me sinto cada vez mais com… https://t.co/367hfZBaR0";"CarlosBolsonaro";2019-03-06 01:40:06
"O que acham os “especialistas” da bobo news e afins se fosse criado o estatuto do desmembramento? Obs: isso não é u… https://t.co/Z1K0fvmow0";"CarlosBolsonaro";2019-03-06 01:22:49
"Tô mandando pra caramba no Presidente, hein! <U+0001F602><U+0001F602><U+0001F602><U+0001F602>! Essa escória é uma piada! Chora cambada!";"CarlosBolsonaro";2019-03-06 00:03:37
"Tá precisando dar um gás por fora pra representar verdadeiramente o comunismo, por dentro, conhecemos o perfil do p… https://t.co/duX63fG6e5";"CarlosBolsonaro";2019-03-05 23:00:29
"Lamentavelmente uma vereadora foi assassinada e um ex-integrante de seu partido tentou assassinar o hoje Presidente… https://t.co/KzW71Knnwr";"CarlosBolsonaro";2019-03-05 22:41:10
"Não tomar banho não te faz revolucionário, não respeitar os pais só te faz ter raiva do mundo e pintar o cabelo de… https://t.co/WxgTE6XNA1";"CarlosBolsonaro";2019-03-05 22:21:06
"Ativistas LJYZ, meia dúzia de piçoulentos fedorentos, rede bobo e os mesmos bandidos que quase transformaram o Bras… https://t.co/gmlMQXYThU";"CarlosBolsonaro";2019-03-05 16:32:07
"Meu Deus! https://t.co/JzOKNiZ7ls";"CarlosBolsonaro";2019-03-05 12:23:48
"https://t.co/clcm97D0B5";"CarlosBolsonaro";2019-03-05 11:22:36
"Há tempos não vemos um governo ter a coragem de apostar no tranposrte ferroviário, sabendo que é fundamental na int… https://t.co/GHI48u1Ex6";"CarlosBolsonaro";2019-03-05 00:05:38
"A tática malandra e astuta de usar a cara de babaca e suas variações só enganam outros babacas e suas variações, ma… https://t.co/ISuzMYRVNe";"CarlosBolsonaro";2019-03-04 14:28:51
"Todos sabem que isto não agradou a muitos caciques e que respostas contra o Brasil podem acontecer. Se o Presidente… https://t.co/KdZrYYMJsN";"CarlosBolsonaro";2019-03-04 10:08:36
"VOCÊ SABIA? PSOL desvia dinheiro de sindicato para uso criminoso de dinheiro público. https://t.co/yroAgMfaXe";"CarlosBolsonaro";2019-03-04 00:36:17
"Por que será que maior parte da mídia e canalh(x)s citam A, mas se esquecem de mencionar B, C ou D? Principalmente… https://t.co/XSyYGcphdH";"CarlosBolsonaro";2019-03-03 23:28:49
